ID;Catégorie;Commande;Préconditions;Input;Étapes;Résultat attendu;Réponse IRC attendue;Priorité;Pass/Fail;Notes
TC001;Connexion;SERVER;Serveur lancé;./ircserv 6667 password;Démarrer le serveur avec port valide et mot de passe;Serveur démarre et écoute sur le port;Aucune erreur;P0;;
TC002;Connexion;SERVER;Serveur lancé;./ircserv 0 password;Démarrer avec port 0;Refus du port invalide ou comportement conforme au sujet;Erreur argument/port invalide;P1;;
TC003;Connexion;SERVER;Serveur lancé;./ircserv 65535 password;Démarrer avec port maximum valide;Serveur démarre;Aucune erreur;P1;;
TC004;Connexion;SERVER;Serveur lancé;./ircserv 65536 password;Démarrer avec port hors plage;Serveur refuse le lancement;Erreur de port;P1;;
TC005;Connexion;SERVER;Serveur lancé;./ircserv abc password;Démarrer avec port non numérique;Serveur refuse le lancement;Erreur argument;P0;;
TC006;Connexion;SERVER;Serveur lancé;./ircserv 6667;Démarrer sans mot de passe;Serveur refuse le lancement;Erreur argument;P0;;
TC007;Connexion;TCP;Serveur lancé;connexion localhost:6667;Se connecter avec netcat/telnet;Connexion acceptée;Aucune erreur réseau;P0;;
TC008;Connexion;TCP;Serveur lancé;connexion mauvais port;Tenter une connexion sur un port fermé;Connexion refusée;Erreur réseau;P1;;
TC009;Connexion;PASS;Client connecté;PASS password\r\n;Envoyer le bon mot de passe;Client accepté pour l'authentification;Pas de 464;P0;;
TC010;Connexion;PASS;Client connecté;PASS wrong\r\n;Envoyer un mauvais mot de passe;Mot de passe refusé;464 ERR_PASSWDMISMATCH;P0;;
TC011;Connexion;PASS;Client connecté;PASS\r\n;Envoyer PASS sans paramètre;Commande rejetée;461 ERR_NEEDMOREPARAMS;P0;;
TC012;Connexion;PASS;Client connecté;PASS password extra\r\n;Envoyer plusieurs paramètres;Comportement conforme au protocole/subject;Erreur ou traitement du premier paramètre selon implémentation;P1;;
TC013;Connexion;PASS;Client connecté;pass password\r\n;Envoyer commande en minuscules;Commande reconnue, IRC est généralement insensible à la casse;Accepté;P1;;
TC014;Connexion;PASS;Client connecté;PaSs password\r\n;Tester casse mixte;Commande reconnue;Accepté;P1;;
TC015;Connexion;PASS;Client connecté;PASS    password\r\n;Plusieurs espaces entre commande et argument;Parsing correct;Accepté;P0;;
TC016;Connexion;PASS;Client connecté;PASS\tpassword\r\n;Utiliser tabulation comme séparateur;Comportement conforme au parser attendu;Selon implémentation IRC;P2;;
TC017;Connexion;PASS;Client connecté;PASS password\r\nPASS password\r\n;Envoyer PASS deux fois;Pas de crash, état cohérent;Erreur appropriée ou seconde commande ignorée;P1;;
TC018;Connexion;PASS;Client connecté;PASS :password\r\n;PASS avec trailing parameter;Parsing correct;Accepté si conforme RFC;P1;;
TC019;Connexion;PASS;Client connecté;PASS \r\n;PASS avec argument vide;Commande rejetée;461 ERR_NEEDMOREPARAMS;P0;;
TC020;Connexion;PASS;Client connecté;PASS password\r\n\r\n;Commande suivie d'une ligne vide;Pas de crash;Aucune réponse ou erreur appropriée;P1;;
TC021;Connexion;PASS;Client connecté;PASS password\n;LF seul;Serveur ne doit pas parser incorrectement ou planter;Selon contraintes du sujet;P2;;
TC022;Connexion;PASS;Client connecté;PASS password\r;CR seul;Pas de crash;Selon parser;P2;;
TC023;Connexion;PASS;Client connecté;PASS password\r\nNICK bob\r\n;Deux commandes dans un même paquet;Les deux commandes sont traitées;PASS puis NICK;P0;;
TC024;Connexion;PASS;Client connecté;PA + SS password\r\n;Commande TCP fragmentée;Le serveur doit attendre la fin de ligne;PASS traité correctement;P0;;
TC025;Connexion;PASS;Client connecté;PASS pass + word\r\n;Fragmenter au milieu d'un paramètre;Parser correctement après réception complète;PASS traité;P0;;
TC026;Connexion;NICK;PASS accepté;NICK bob\r\n;Choisir nickname valide;Nickname accepté;Pas de 431/433;P0;;
TC027;Connexion;NICK;PASS accepté;NICK\r\n;NICK sans argument;Commande rejetée;431 ERR_NONICKNAMEGIVEN ou 461;P0;;
TC028;Connexion;NICK;PASS accepté;NICK bob extra\r\n;NICK avec argument supplémentaire;Parsing conforme;Erreur ou premier argument selon protocole;P1;;
TC029;Connexion;NICK;PASS accepté;NICK :bob\r\n;Trailing nickname;Parsing conforme;Selon protocole;P2;;
TC030;Connexion;NICK;PASS accepté;NICK bob\r\nNICK alice\r\n;Changer immédiatement de nickname;Nickname final alice;Broadcast/confirmation approprié;P0;;
TC031;Connexion;NICK;PASS accepté;NICK bob\r\nNICK bob\r\n;Réutiliser son propre nickname;Pas de corruption d'état;433 possible selon implémentation;P1;;
TC032;Connexion;NICK;Deux clients connectés;Client A=NICK bob / Client B=NICK bob;Deux clients utilisent le même nick;Deuxième nickname refusé;433 ERR_NICKNAMEINUSE;P0;;
TC033;Connexion;NICK;PASS accepté;NICK bob123\r\n;Nick avec chiffres;Accepté si caractères autorisés;OK;P1;;
TC034;Connexion;NICK;PASS accepté;NICK _bob\r\n;Nick avec underscore;Accepté si règles du sujet;OK;P1;;
TC035;Connexion;NICK;PASS accepté;NICK bob-test\r\n;Nick avec tiret;Selon règles de nickname;OK ou erreur;P1;;
TC036;Connexion;NICK;PASS accepté;NICK bob!@#\r\n;Caractères invalides;Nickname refusé;432 ERR_ERRONEUSNICKNAME;P0;;
TC037;Connexion;NICK;PASS accepté;NICK bob bob\r\n;Espaces dans nickname;Nickname mal formé/refusé;Erreur appropriée;P1;;
TC038;Connexion;NICK;PASS accepté;NICK \r\n;Nickname vide;Refusé;431 ERR_NONICKNAMEGIVEN;P0;;
TC039;Connexion;NICK;PASS accepté;NICK aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa\r\n;Nickname très long;Refusé ou tronqué selon limite;432/431 approprié;P1;;
TC040;Connexion;USER;PASS accepté;USER bob 0 * :Bob\r\n;USER valide;Utilisateur enregistré;Pas d'erreur;P0;;
TC041;Connexion;USER;PASS accepté;USER bob\r\n;USER incomplet;Commande rejetée;461 ERR_NEEDMOREPARAMS;P0;;
TC042;Connexion;USER;PASS accepté;USER bob 0 *\r\n;Trailing parameter absent;Commande rejetée;461 ERR_NEEDMOREPARAMS;P0;;
TC043;Connexion;USER;PASS accepté;USER bob 0 * :Bob The Builder\r\n;Realname avec espaces;Accepté;OK;P0;;
TC044;Connexion;USER;PASS accepté;USER bob 0 * :\r\n;Realname vide;Comportement conforme parser;Selon protocole;P1;;
TC045;Connexion;USER;PASS accepté;USER bob 0 * Bob Builder\r\n;Realname sans ':';Parser ne doit pas fusionner incorrectement;Erreur ou traitement conforme;P1;;
TC046;Connexion;USER;PASS accepté;USER bob x * :Bob\r\n;Username avec user mode invalide;Parsing correct;Selon protocole;P2;;
TC047;Connexion;Registration;Client connecté;PASS + NICK + USER;Effectuer enregistrement complet;Client devient pleinement enregistré;Welcome numerics 001+ selon implémentation;P0;;
TC048;Connexion;Registration;Client connecté;NICK + USER sans PASS;Ne pas fournir PASS;Client reste non enregistré;Erreur/absence de welcome;P0;;
TC049;Connexion;Registration;Client connecté;PASS + USER sans NICK;Oublier NICK;Client non enregistré;431/absence de welcome;P0;;
TC050;Connexion;Registration;Client connecté;PASS + NICK sans USER;Oublier USER;Client non enregistré;461/absence de welcome;P0;;
TC051;Connexion;Registration;Client connecté;PASS + NICK + USER dans même paquet;Envoyer toutes les commandes ensemble;Enregistrement réussi;001 etc.;P0;;
TC052;Connexion;Registration;Client connecté;USER + NICK + PASS;Ordre inversé;Serveur gère correctement l'état;Welcome après PASS;P1;;
TC053;Connexion;Registration;Client enregistré;NICK autre\r\nUSER autre 0 * :Other\r\n;Réexécuter USER;USER supplémentaire refusé;462 ERR_ALREADYREGISTERED;P1;;
TC054;Connexion;Registration;Client enregistré;PASS password\r\n;PASS après registration;État cohérent;462 ou comportement conforme;P1;;
TC055;Connexion;Registration;Client non enregistré;JOIN #test\r\n;JOIN avant registration;Commande refusée;451 ERR_NOTREGISTERED;P0;;
TC056;Connexion;Registration;Client non enregistré;PRIVMSG bob :hello\r\n;PRIVMSG avant registration;Commande refusée;451 ERR_NOTREGISTERED;P0;;
TC057;Connexion;Registration;Client non enregistré;MODE bob\r\n;MODE avant registration;Pas de crash;451/erreur appropriée;P1;;
TC058;Connexion;PING;Client enregistré;PING :hello\r\n;Envoyer ping;Serveur répond pong;PONG;P0;;
TC059;Connexion;PING;Client enregistré;PING\r\n;PING sans argument;Réponse conforme;PONG ou 461 selon protocole;P1;;
TC060;Connexion;PING;Client enregistré;PING a b\r\n;PING avec deux paramètres;Parser correctement;PONG/erreur appropriée;P2;;
TC061;Connexion;PONG;Client enregistré;PONG :hello\r\n;Envoyer PONG;Pas de crash;Aucune réponse nécessaire;P2;;
